Source,Target,Score,Title,Author,Year,Subject
29459,29459,1,Hepatitis a seroprevalence and risk factors among daycare educators,"Muecke, Cristin J.",2002,"Health Sciences, Public Health."
29459,34923,0.805,Efficacité d'un programme de contrôle des infections et des contaminants de l'environnement dans les garderies,"Carabin, Hélène.",1998,"Health Sciences, Public Health."
29459,21915,0.7728,Prospective validation of the Pediatric Appendicitis Score in a Canadian pediatric emergency department,"Bhatt, Maala",2008,Health Sciences - Epidemiology
29459,124232,0.7627,Mental health services for children in Quebec province.,"Thompson, C. E. R.",1950,Social Work.
29459,123110,0.7587,Determinants of Bacillus Calmette-Guérin (BCG) vaccination among Québec children,"Li, Jun",2014,Health Sciences - Epidemiology
29459,97189,0.7569,Nosocomial rotavirus gastroenteritis in a Canadian tertiary-care hospital ,"Verhagen, Patricia",2011,Health Sciences - Epidemiology
29461,29461,1,The role of natural killer cells in murine early embryo loss ,"Ng Thow Hing, Christopher",2002,"Health Sciences, Immunology."
29461,30704,0.8876,Decidual inflammatory events associated with early embryo loss,"Merkouris, Katherine Maria.",1999,"Health Sciences, Immunology."
29461,72047,0.8813,Analysis of immunoregulatory pathways in murine pregnancy,"Hoskin, David W.",1985,"Health Sciences, Immunology."
29461,101118,0.8702,Developing an eggshell marker based on a dominant female sterile mutation for the identification of complete follicle cell clones in Drosophila melanogaster,"Eleiche, Aliaa Abdel-Salam.",2006,Drosophila melanogaster -- Molecular genetics.
29461,139036,0.8585,Interaction of the nodal and bone morphogenetic protein 5 signaling pathways in proper embryo spacing,"Mokhtarian, Natasha",2016,Medicine
29461,141420,0.8492,Role of the nucleotide oligomerization domain-like receptor protein 7 in the pathology of recurrent hydatidiform moles,"Akoury, Elie",2016,Human Genetics
29469,29469,1,"Expression of the discoidin domain receptors, DDR-1 and DDR-2 in human normal and osteoarthritic articular cartilages","Rahnema, Nazanine",2002,"Biology, Cell."
29469,68208,0.8954,Modulation of biosynthetic patterns of human articular chondrocytes by cytokines and growth factors - quantitative evaluation at the mRNA levels,"Lum, Zhao-Ping",1994,"Biology, Molecular."
29469,104688,0.8879,The potential of plasma-generated culture surfaces for stem cell-mediated tissue repair,"Rampersad, Sonia",2011,Biology - Cell
29469,75422,0.8863,Binding of epidermal growth factor and insulin in cells of bone and tooth as revealed by radioautography,"Martineau-Doizé, Béatrice, 1949-",1986,"Health Sciences, Dentistry."
29469,116978,0.8786,Foxl2 regulation and function in gonadotropes,"Tran, Stella Lê Minh",2013,Biology - Physiology
29469,34502,0.8737,The identification of collagenase-generated cleavage products of type II collagen using anti-neoepitope antibodies ,"Billinghurst, Robert Clark.",1997,"Biology, Molecular."
29470,29470,1,Knowledge transfer in neural networks : knowledge-based cascade-correlation,"Rivest, François",2002,Computer Science.
29470,70220,0.8516,Artificial neural networks and their application to sequence recognition,"Bengio, Yoshua",1991,Artificial Intelligence.
29470,111824,0.847,"Knowledge selection, mapping and transfer in artificial neural networks","Thivierge, Jean-Philippe.",2005,Neural networks (Computer science)
29470,35864,0.8423,Using numerical methods and artificial intelligence in NMR data processing and analysis,"Choy, Wing Yiu, 1969-",1998,"Chemistry, Analytical."
29470,110433,0.8414,Text classification using labels derived from structured knowledge representations,"Perreault, Mathieu",2012,Applied Sciences - Artificial Intelligence
29470,117084,0.8393,The influence of information use strategies on ill structured-domain graduate learning tasks,"Weerapura, Kaushilya",2013,Education - Higher
29923,29923,1,Practical techniques for virtual call resolution in Java,"Sundaresan, Vijay.",1999,Computer Science.
29923,33444,0.9011,A study of side-effect analyses for Java ,"Razafimahefa, Chrislain.",1999,Computer Science.
29923,82273,0.8812,Using inter-procedural side-effect information in JIT optimizations,"Le, Anatole",2005,Computer Science.
29923,75355,0.8764,Graphics function standard specification validation with GKS,"Fraser, Steven D.",1987,Computer graphics
29923,23277,0.8702,A practical array dependence analysis for anoptimizingparallelizing C compiler,"Justiani, J., 1962-",1995,Computer Science.
29923,84096,0.8699,A practical MHP information computation for concurrent Java programs ,"Li, Lin, 1971-",2005,Computer Science.
29944,29944,1,"Human reproductive cloning community, identity, stability : reinventing creation","Yiannakis, Eleni.",1999,Law.
29944,22706,0.8088,A study of the issues involved in the legal regulation of human embryo research and related practices,"Wise, Morag Barbara",1994,Law.
29944,102515,0.765,Political economy and ethic of care : toward a unified theory of utilization of assisted reproductive technologies,"Kayaalp, Emre.",2006,Philosophy.
29944,80913,0.7613,How to regulate embryo research? : a procedural approach,"Champon, Benoit",2003,Stem cells -- Research -- Moral and ethical aspects
29944,114414,0.7608,Public bioethics & the reality of religious pluralism: coping with moral diversity in bioethical methodology,"Durante, Christopher",2013,Religion - Philosophy of 
29944,97902,0.7553,Experimental evolution of Pseudomonas fluorescens in simple and complex environments,"Barrett, Rowan Douglas Hilton.",2005,Pseudomonas fluorescens -- Variation.
29945,29945,1,Burnout and lack of agency structure : a study of the clubhouse model of psychosocial rehabilitation,"Barkley, Tammy Lynn.",1999,Rehabilitation centers -- Canada.
29945,121141,0.7929,Understanding how social businesses influence the stigma of mental illness,"Sabetti, Judith",2014,Social Sciences - Social Work
29945,33806,0.7632,Burnout and job satisfaction in mental health professionals : a comparison of community organisations and hospital-affiliated staff working in intense follow-up teams of severely mentally ill individuals,"Martin, Andrea, 1975-",2002,"Health Sciences, Mental Health."
